"","Beneficial","Harmful","Total","PPIa"
"BetaVia Pure WD",6180.66666666667,790.666666666667,6971.33333333333,0.773166300086067
"Cellulose",6128.66666666667,790.916666666667,6919.58333333333,0.771397603420244
"FBB0",1211.66666666667,1469,2680.66666666667,-0.0959960208903257
"FBB16",2980,2159,5139,0.159758707919829
"Ground Beet Pulp",4356,481.583333333333,4837.58333333333,0.800899209315946
"HiSmooth flax seed fiber",5806.25,659.25,6465.5,0.79607145619055
"Jerusalum articohoke powder (inulin)",5618.66666666667,518.583333333333,6137.25,0.831004657351963
"Micronized cassava fiber",5027.58333333333,556.083333333333,5583.66666666667,0.800817861620202
"Mushroom chitosan",6650,833,7483,0.777362020579981
"Oat Bagasse hydrolysate-(B)",6463.5,710,7173.5,0.802049208893845
"Oat Bagasse hydrolysate-(PBV)",6205.75,738.083333333333,6943.83333333333,0.787413292369729
"Oat Bagasse-Control",5725.91666666667,727.416666666667,6453.33333333333,0.774560950413223
"Olive Flour",6293,751.818181818182,7044.81818181818,0.786561366833133
"Psyllium Husk",6067.25,593.166666666667,6660.41666666667,0.821883015326869
"beetroot powder",5330.91666666667,564.916666666667,5895.83333333333,0.808367491166078
"carrot powder",5110,634.416666666667,5744.41666666667,0.779118854539915
"dried apple pomace",4238,386.166666666667,4624.16666666667,0.832978915119841
"dried spinich powder",5771.08333333333,888.083333333333,6659.16666666667,0.733274934301089
"ginger powder",6495.25,882.583333333333,7377.83333333333,0.760747283529492
"guar gum",5232.25,611.666666666667,5843.91666666667,0.790665506866114
"kappa carageenan ",6298.58333333333,917.833333333333,7216.41666666667,0.745626291903877
"lemon powder",5453.5,531.25,5984.75,0.822465432975479
"locust bean gum",5228.83333333333,662.166666666667,5891,0.775193798449612
"pomegranate powder",5117.36363636364,602.636363636364,5720,0.78928798474253
"xanthan gum",6197.5,853.833333333333,7051.33333333333,0.757823579464877
